Show,Streamer,Type,Audience,Stage,Mindset,Interest
Shoplifters,Netflix,Movie,John,New,General,Medium
The Irishman,Netflix,Movie,John,New,General,Medium
The Boy and the Heron,Max,Movie,John,New,General,High
Bionic,Netflix,Movie,John,New,General,Medium
Horizon,Max,Movie,John,New,General,Medium
Fall Guy,Peacock,Movie,Everyone,New,General,High
Halo,Paramount,TV Series,John,New,General,Medium
The penguin,Max,TV Series,John,Watching,General,Highest
Shogun,Hulu,TV Series,John,Paused,General,Medium
The Man in High Castle,Prime,TV Series,Everyone,Family Movie night,General,Medium
Superstore,Peacock,TV Series,Everyone,Family Movie night,General,Medium
Harry Wild,Acorn,TV Series,Everyone,Upcoming Season,General,Low
Nobody wants this,Netflix,TV Series,Everyone,New,General,High
McDonald & Dobbs,BritBox,TV Series,Everyone,Upcoming Season,General,Highest
Silent Witness,BritBox,TV Series,Everyone,Upcoming Season,General,Highest
Shetland,BritBox,TV Series,Everyone,Upcoming Season,General,Highest
Abbott Elementary,Max,TV Series,Everyone,Watching,Background,Highest
Industry,Max,TV Series,Everyone,New,General,High
The flight attendant,Max,TV Series,Everyone,Upcoming Season,General,Medium
Agatha All Along,Disney,TV Series,Everyone,Watching,General,Highest
Your Honor,Netflix,TV Series,Everyone,Watching,General,Medium
Supacell,Netflix,TV Series,Everyone,New,General,High
Murder in the building,Hulu,TV Series,Everyone,Watching,Background,Low
Emily in Paris,Netflix,TV Series,Everyone,Upcoming Season,General,Highest
The 90' Show,Netflix,TV Series,Everyone,Watching,Background,Low
Unstable,Netflix,TV Series,Everyone,Watching,Background,Medium
Homeland,Paramount,TV Series,Everyone,New,General,High
Billions,Paramount,TV Series,Everyone,New,General,High
Obi-wan Kenobi,Disney,TV Series,Everyone,Paused,General,Low
The Witcher,Netflix,TV Series,Everyone,New,General,High
Masters of the air,Apple,TV Series,Everyone,New,General,Low
The New Look,Apple,TV Series,Everyone,New,General,Low
Reacher,Prime,TV Series,Everyone,New,General,High
The Curse,Prime,TV Series,Everyone,New,General,Medium
Ashoka,Disney,TV Series,Everyone,Paused,General,Medium
Dead to Me,Netflix,TV Series,Everyone,Paused,General,Low
The Mosquito Coast,Apple,TV Series,Everyone,Upcoming Season,General,High
The Sandman,Netflix,TV Series,Everyone,New,General,Low
The Bureau,AMC,TV Series,Everyone,New,General,High
The Witcher Blood & Origin,Netflix,TV Series,Everyone,New,General,Medium
Severance,Apple,TV Series,Everyone,New,General,Medium
Andor,Disney,TV Series,Everyone,Paused,General,Low
Midsomer murder,Acorn,TV Series,Everyone,New,General,Medium
Clark,Netflix,TV Series,Everyone,New,General,Medium
Undone,Prime,TV Series,Everyone,New,General,Low
Moon Knight,Disney,TV Series,Everyone,New,General,Medium
Loki,Disney,TV Series,Everyone,New,General,Medium
Boba Fett,Disney,TV Series,Everyone,New,General,Low
Mandalorian,Disney,TV Series,Everyone,Paused,General,Low
Squid Game,Netflix,TV Series,Everyone,New,General,Medium
Acapulco,Apple,TV Series,Everyone,Upcoming Season,General,Medium
Pachinko,Apple,TV Series,Everyone,Upcoming Season,General,Medium
Death in paradise,BritBox,TV Series,Everyone,Upcoming Season,General,Medium
The Underground Railroad,Prime,TV Series,Everyone,New,General,Medium
The Spy,Netflix,TV Series,Everyone,New,General,Medium
The Fist of the Condor,Apple Movie,Movie,John,New,General,Medium
A Clockwork Orange,Apple Movie,Movie,John,New,General,Low
Electric Dreams,BritBox,TV Series,John,Waiting,General,Medium
"Love, Death, and Robots",Netflix,TV Series,John,Waiting,General,Medium
Black mirror,Netflix,TV Series,John,Waiting,General,Medium
American Horror Story,FX,TV Series,John,Waiting,General,Medium
Wheel of Time,Prime,TV Series,John,Waiting,General,Medium
Father Brown,BritBox,TV Series,Everyone,Waiting,General,Medium
Shakespeare and Hathaway,BritBox,TV Series,Everyone,Waiting,General,Medium
Equinox,Netflix,TV Series,Everyone,Waiting,General,Medium
Bridgerton,Netflix,TV Series,Everyone,Waiting,General,Medium
Foundation,Apple,TV Series,John,Waiting,General,Medium
Grantchester,Masterpiece,TV Series,Everyone,Waiting,General,Medium
Vera,BritBox,TV Series,Everyone,Waiting,General,Medium
Stranger Things,Netflix,TV Series,Everyone,Waiting,General,Medium
My Life is Murder,Acorn,TV Series,Everyone,Waiting,General,Medium
The Chelsea detectives,Acorn,TV Series,Everyone,Waiting,General,Medium
Wednesday,Netflix,TV Series,Everyone,Waiting,General,Medium
The Brokenwood Mysteries,Acorn,TV Series,Everyone,Waiting,General,Medium
Professor T,Masterpiece,TV Series,Everyone,Waiting,General,Medium
Van der Valk,Masterpiece,TV Series,Everyone,Upcoming Season,General,Medium
Lupin 2,Netflix,TV Series,Everyone,Waiting,General,Medium
All creatures great and small,Masterpiece,TV Series,Everyone,Waiting,General,Medium
The Gilded Age,Max,TV Series,Everyone,Waiting,General,Medium
Shrinking,Apple,TV Series,Everyone,Waiting,General,Medium
Hacks,Max,TV Series,Everyone,Waiting,General,Medium
Young Wallender,Netflix,TV Series,Everyone,Waiting,General,Medium
Signora Volpe,Acorn,TV Series,Everyone,Waiting,General,Medium
The Mallorca Files,Prime,TV Series,Everyone,Waiting,Background,High
Yellowjackets,Paramount,TV Series,Everyone,Waiting,General,Highest
Bad Monkey,Apple,TV Series,Everyone,New,General,High
Where's Wanda,Apple,TV Series,Everyone,New,General,High
Deadloch,Prime,TV Series,Everyone,New,General,High
